C,Victoria,Death,0,0,19-3-2020
A,Victoria,Confirmed,0,121,20-3-2020
B,Victoria,Recovered,0,8,20-3-2020
C,Victoria,Death,0,0,20-3-2020
A,Victoria,Confirmed,108,229,21-3-2020
B,Victoria,Recovered,0,8,21-3-2020
C,Victoria,Death,0,0,21-3-2020
A,Victoria,Confirmed,126,355,22-3-2020
B,Victoria,Recovered,62,70,22-3-2020
C,Victoria,Death,0,0,22-3-2020
A,Victoria,Confirmed,0,355,23-3-2020
B,Victoria,Recovered,0,70,23-3-2020
C,Victoria,Death,0,0,23-3-2020
A,Victoria,Confirmed,56,411,24-3-2020
B,Victoria,Recovered,27,97,24-3-2020
C,Victoria,Death,0,0,24-3-2020
A,Victoria,Confirmed,55,466,25-3-2020
B,Victoria,Recovered,0,97,25-3-2020
C,Victoria,Death,0,0,25-3-2020
A,Victoria,Confirmed,54,520,26-3-2020
B,Victoria,Recovered,52,149,26-3-2020
C,Victoria,Death,3,3,26-3-2020
A,Victoria,Confirmed,54,574,27-3-2020
B,Victoria,Recovered,22,171,27-3-2020
C,Victoria,Death,0,3,27-3-2020
A,Victoria,Confirmed,111,685,28-3-2020
B,Victoria,Recovered,20,191,28-3-2020
C,Victoria,Death,0,3,28-3-2020
A,Victoria,Confirmed,84,769,29-3-2020
B,Victoria,Recovered,0,191,29-3-2020
C,Victoria,Death,1,4,29-3-2020
A,Victoria,Confirmed,52,821,30-3-2020
B,Victoria,Recovered,0,191,30-3-2020
C,Victoria,Death,0,4,30-3-2020
A,Victoria,Confirmed,96,917,31-3-2020
B,Victoria,Recovered,100,291,31-3-2020
C,Victoria,Death,0,4,31-3-2020
A,Victoria,Confirmed,51,968,1-4-2020
B,Victoria,Recovered,52,343,1-4-2020
C,Victoria,Death,0,4,1-4-2020
A,Victoria,Confirmed,68,1036,2-4-2020
B,Victoria,Recovered,79,422,2-4-2020
C,Victoria,Death,1,5,2-4-2020
A,Victoria,Confirmed,49,1085,3-4-2020
B,Victoria,Recovered,54,476,3-4-2020
C,Victoria,Death,2,7,3-4-2020
A,Victoria,Confirmed,30,1115,4-4-2020
B,Victoria,Recovered,51,527,4-4-2020
C,Victoria,Death,1,8,4-4-2020
