State,Country,Lat,Long,id,recovered_date,recovered_acc_count,recovered_inc_count
Algeria,Algeria,28.0339,1.6596,2,31-3-2020,46,9
Algeria,Algeria,28.0339,1.6596,2,1-4-2020,61,15
Algeria,Algeria,28.0339,1.6596,2,2-4-2020,61,0
Algeria,Algeria,28.0339,1.6596,2,3-4-2020,62,1
Algeria,Algeria,28.0339,1.6596,2,4-4-2020,90,28
Algeria,Algeria,28.0339,1.6596,2,5-4-2020,90,0
Algeria,Algeria,28.0339,1.6596,2,6-4-2020,90,0
Algeria,Algeria,28.0339,1.6596,2,7-4-2020,113,23
Algeria,Algeria,28.0339,1.6596,2,8-4-2020,237,124
Algeria,Algeria,28.0339,1.6596,2,9-4-2020,347,110
Algeria,Algeria,28.0339,1.6596,2,10-4-2020,405,58
Algeria,Algeria,28.0339,1.6596,2,11-4-2020,460,55
Algeria,Algeria,28.0339,1.6596,2,12-4-2020,591,131
Algeria,Algeria,28.0339,1.6596,2,13-4-2020,601,10
Andorra,Andorra,42.5063,1.5218,3,22-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,23-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,24-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,25-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,26-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,27-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,28-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,29-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,30-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,31-1-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,1-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,2-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,3-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,4-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,5-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,6-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,7-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,8-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,9-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,10-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,11-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,12-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,13-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,14-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,15-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,16-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,17-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,18-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,19-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,20-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,21-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,22-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,23-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,24-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,25-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,26-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,27-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,28-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,29-2-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,1-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,2-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,3-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,4-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,5-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,6-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,7-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,8-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,9-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,10-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,11-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,12-3-2020,1,1
Andorra,Andorra,42.5063,1.5218,3,13-3-2020,0,0
Andorra,Andorra,42.5063,1.5218,3,14-3-2020,1,1
Andorra,Andorra,42.5063,1.5218,3,15-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,16-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,17-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,18-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,19-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,20-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,21-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,22-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,23-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,24-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,25-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,26-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,27-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,28-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,29-3-2020,1,0
Andorra,Andorra,42.5063,1.5218,3,30-3-2020,10,9
Andorra,Andorra,42.5063,1.5218,3,31-3-2020,10,0
Andorra,Andorra,42.5063,1.5218,3,1-4-2020,10,0
Andorra,Andorra,42.5063,1.5218,3,2-4-2020,10,0
Andorra,Andorra,42.5063,1.5218,3,3-4-2020,16,6
Andorra,Andorra,42.5063,1.5218,3,4-4-2020,21,5
Andorra,Andorra,42.5063,1.5218,3,5-4-2020,26,5
Andorra,Andorra,42.5063,1.5218,3,6-4-2020,31,5
Andorra,Andorra,42.5063,1.5218,3,7-4-2020,39,8
Andorra,Andorra,42.5063,1.5218,3,8-4-2020,52,13
Andorra,Andorra,42.5063,1.5218,3,9-4-2020,58,6
Andorra,Andorra,42.5063,1.5218,3,10-4-2020,71,13
Andorra,Andorra,42.5063,1.5218,3,11-4-2020,71,0
Andorra,Andorra,42.5063,1.5218,3,12-4-2020,128,57
Andorra,Andorra,42.5063,1.5218,3,13-4-2020,128,0
Angola,Angola,-11.2027,17.8739,4,22-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,23-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,24-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,25-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,26-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,27-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,28-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,29-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,30-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,31-1-2020,0,0
Angola,Angola,-11.2027,17.8739,4,1-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,2-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,3-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,4-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,5-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,6-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,7-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,8-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,9-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,10-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,11-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,12-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,13-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,14-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,15-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,16-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,17-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,18-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,19-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,20-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,21-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,22-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,23-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,24-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,25-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,26-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,27-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,28-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,29-2-2020,0,0
Angola,Angola,-11.2027,17.8739,4,1-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,2-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,3-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,4-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,5-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,6-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,7-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,8-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,9-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,10-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,11-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,12-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,13-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,14-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,15-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,16-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,17-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,18-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,19-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,20-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,21-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,22-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,23-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,24-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,25-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,26-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,27-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,28-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,29-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,30-3-2020,0,0
Angola,Angola,-11.2027,17.8739,4,31-3-2020,1,1
Angola,Angola,-11.2027,17.8739,4,1-4-2020,1,0
Angola,Angola,-11.2027,17.8739,4,2-4-2020,1,0
